title,Make,Model,Year,mileage,Transmission,City,Color,Price,Image,mileage_numerical,price_numerical
Used Renault Logan 2016 for sale Alexandria,Renault,Logan,2016,"90,000 Km",automatic,Alexandria,Black,"445,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905428/full_up_4780b448fbaaef686137bf8a9aa724f7.jpg"")",90000.0,445000.0
Used Renault Logan 2010 for sale Madinaty,Renault,Logan,2010,"99,000 Km",manual,Madinaty,Black,"310,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6904151/full_up_315f1514559605636adea6c0ed963fe8.jpg"")",99000.0,310000.0
Used Renault Logan 2019 for sale Alexandria,Renault,Logan,Automatic  / E1,2019,"142,000 Km",automatic,Alexandria,"515,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/03/6897604/full_up_2cf24b715b70c71dcf6d16d2092bdc32.jpg"")",2019.0,515000.0
Used Renault Logan 2016 for sale Alexandria,Renault,Logan,2016,"89,000 Km",automatic,Alexandria,Black,"480,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/10/6903322/full_up_5da4c46b8732084b16af67834f1d8048.jpg"")",89000.0,480000.0
Used Renault Logan 2013 for sale Maadi,Renault,Logan,2013,"137,000 Km",automatic,Maadi,Silver,"375,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6904135/full_up_02bcf2830f256757e760ba12363ef79a.jpg"")",137000.0,375000.0
Used Renault Logan 2016 for sale 6 October,Renault,Logan,2016,"182,000 Km",manual,6 October,Blue,"419,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/12/6905273/full_up_ef072550095955b3339a6365198c453c.jpg"")",182000.0,419000.0
Used Renault Logan 2017 for sale Mohandessin,Renault,Logan,Automatic,2017,"100,000 Km",automatic,Mohandessin,"435,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/12/6905201/full_up_84762462d6d0d84df9b02414c322dba4.jpg"")",2017.0,435000.0
Used Renault Logan 2016 for sale Heliopolis,Renault,Logan,2016,"96,000 Km",automatic,Heliopolis,Red,"465,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905483/full_up_da1b1ce4bf7ce480007f7fef92426e5b.jpg"")",96000.0,465000.0
Used Renault Logan 2022 for sale Giza,Renault,Logan,A/T / E3 / Black Edtion,2022,"109,000 Km",automatic,Giza,"630,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/11/6904198/full_up_a4c88810c1aafededd302ad731d44c28.jpg"")",2022.0,630000.0
Used Renault Logan 2016 for sale Alexandria,Renault,Logan,2016,"180,000 Km",automatic,Alexandria,Dark red,"425,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905592/full_up_2b09aba0fe5e7be96908b1c46b8db155.jpg"")",180000.0,425000.0
Used Renault Logan  for sale Cairo,Renault,Logan,2018,"94,000 Km",automatic,Cairo,Silver,"560,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/13/6905803/full_up_7c90050f6b39ef47eae3a4ca3b7b57c6.jpg"")",94000.0,560000.0
Used Renault Logan 2011 for sale Kafr el-Sheikh,Renault,Logan,2011,"324,000 Km",manual,Kafr el-Sheikh,Petroleum,"250,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6900794/full_up_2c8f9e0f74322946303a06340512e04e.jpg"")",324000.0,250000.0
Used Renault Logan 2021 for sale Alexandria,Renault,Logan,A/T /  E3,2021,"99,000 Km",automatic,Alexandria,"565,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/09/6902931/full_up_47cd3d398525d6b8707137c930e155ce.jpg"")",2021.0,565000.0
Used Renault Logan 2019 for sale Alexandria,Renault,Logan,Automatic / E2,2019,"16,000 Km",automatic,Alexandria,"625,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/10/6903426/full_up_8007a0863110225c1ce32eac80315f8d.jpg"")",2019.0,625000.0
Used Renault Logan 2010 for sale Nasr city,Renault,Logan,2010,"334,000 Km",manual,Nasr city,Silver,"230,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/30/6894809/full_up_d6aff91f62bc794d431544e796f9ae40.jpg"")",334000.0,230000.0
Used Renault Logan 2015 for sale Obour City,Renault,Logan,2015,"150,000 Km",manual,Obour City,Red,"350,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/10/6903296/full_up_8b438bce65ddd9acad65f1a2ea5eb2ef.jpg"")",150000.0,350000.0
Used Renault Logan 2016 for sale Maadi,Renault,Logan,2016,"145,000 Km",automatic,Maadi,Dark blue,"420,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/10/6903551/full_up_0a0b084273311830cf0faedea6c0870a.jpg"")",145000.0,420000.0
Used Renault Logan 2015 for sale Tagamo3 - New Cairo,Renault,Logan,2015,"108,000 Km",manual,Tagamo3 - New Cairo,Gold,"260,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/07/6901116/full_up_c890d00bda0d3ddb3a4eee8535dd6acb.jpg"")",108000.0,260000.0
Used Renault Logan 2022 for sale Cairo,Renault,Logan,A/T /  E2,2022,"60,000 Km",automatic,Cairo,"725,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/06/6900020/full_up_9e3a3e0bb19d15b473a4fc70fc3da7ff.jpg"")",2022.0,725000.0
Used Renault Logan 2016 for sale 6 October,Renault,Logan,2016,"112,000 Km",manual,6 October,Silver,"390,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/01/30/6894724/full_up_1266b47ccb653640c03b0067ed29d608.jpg"")",112000.0,390000.0
Used Renault Logan 2019 for sale Heliopolis,Renault,Logan,Automatic  / E1,2019,"90,000 Km",automatic,Heliopolis,"550,000 EGP","=IMAGE(""https://media.hatla2eestatic.com/uploads/car/2025/02/06/6900222/full_up_e7d35b24ff0f2ef11ffe2ad1d018aa1b.jpg"")",2019.0,550000.0
Used Renault Logan 2022 for sale Tagamo3 - New Cairo,Renault,Logan,A/T / E1,2022,"43,000 Km",automatic,Tagamo3 - New Cairo,"690,000 EGP","=IMAGE(""None"")",2022.0,690000.0
